0,819.4
1,845.35
2,875.17
3,1112.17
4,1327.91
5,437.17
6,390.61
7,382.32
8,300.74
9,266.04
10,306.22
11,248.84
12,219.74
13,201.3
14,177.96
15,182.13
16,169.5
17,365.83
18,479.88
19,563.12
20,601.71
21,757.45
22,1751.26
23,1674.33
24,778.69
25,653.12
26,726.17
27,1697.5
28,961351.31
29,1190454.0
30,1199618.12
31,1199984.75
32,1199999.37
33,1200000.0
34,1200000.0
35,48134.25
36,2027.74
37,189.83
38,237.93
39,490.8
40,1152019.62
41,1198080.75
42,1199923.25
43,1199996.87
44,1199999.87
45,1200000.0
46,50352.95
47,3340.32
48,1233.69
49,1034.84
50,1003.96
51,936.52
52,910.9
53,932.8
54,910.75
55,963.35
56,894.15
57,820.08
58,817.12
59,874.04
60,876.32
61,876.41
62,961.97
63,934.84
64,982.14
65,809.34
66,816.69
67,816.98
68,802.73
69,962.59
70,1001.07
71,958.86
72,893.97
73,805.81
74,790.62
75,1243.75
76,819.81
77,874.15
78,746.68
79,885.48
80,876.78
81,735.12
82,831.55
83,817.58
84,758.68
85,742.06
86,885.3
87,805.47
88,887.84
89,876.87
90,819.39
91,874.13
92,819.28
93,817.09
94,192674.41
95,8465.36
96,1108.67
97,974.83
98,750.71
99,1075.1
100,813.06
101,977.27
102,809.15
103,781.03
104,789.63
105,801.64
106,802.12
107,950.9
108,879.39
109,805.23
110,790.6
111,801.68
112,887.68
113,761.49
114,756.44
115,192671.98
116,8473.6
117,1622.37
118,833.96
119,888.98
120,876.92
121,864.77
122,804.65
123,802.24
124,857.15
125,804.34
126,709.54
127,812.7
128,802.56
129,816.42
130,874.01
131,686.4
132,739.17
133,787.95
134,801.57
135,873.42
136,965.42
137,969.1
138,823.08
139,802.98
140,816.43
141,906.1
142,877.6
143,819.42
144,874.13
145,860.02
146,818.72
147,3369.66
148,976.14
