0,0.01,180.65
1,0.01,182.22
2,0.01,190.67
3,0.01,185.25
4,0.01,185.25
5,0.01,183.94
6,0.01,183.1
7,0.01,188.26
8,0.01,181.3
9,0.01,175.04
10,0.01,167.47
11,0.68,152.81
12,0.73,139.47
13,0.02,133.5
14,0.63,121.66
15,2.62,108.96
16,3.8,99.5
17,3.87,93.6
18,4.6,90.17
19,4.66,90.69
20,5.83,86.22
21,2.56,76.58
22,0.11,64.7
23,0.56,54.59
24,0.01,44.61
25,0.01,34.81
26,0.01,24.49
27,0.56,13.34
28,5.05,2.34
29,5.05,2.34
30,5.05,2.34
31,5.05,2.34
32,5.05,2.34
33,5.05,2.34
34,5.05,2.34
35,5.05,2.34
36,5.05,2.34
37,5.05,2.34
38,5.05,2.34
39,5.05,2.34
40,5.05,2.34
41,5.05,2.34
42,1.69,42.33
43,1.69,42.33
44,1.69,42.33
45,1.69,42.33
46,1.69,42.33
47,1.69,42.33
48,1.69,42.33
49,0.01,8.56
50,0.01,8.56
51,0.01,8.56
52,0.01,8.56
53,0.01,8.56
54,0.01,8.56
55,0.01,8.56
56,0.01,8.56
57,0.01,8.56
58,0.01,8.56
59,0.01,8.56
60,0.01,8.56
61,0.01,8.56
62,0.01,8.56
63,0.01,8.56
64,0.01,8.56
65,0.01,8.56
66,0.01,8.56
67,0.01,8.56
68,0.01,8.56
69,0.01,8.56
70,0.01,8.56
71,0.01,8.56
72,0.01,8.56
73,0.01,8.56
74,0.01,8.56
75,0.01,8.56
76,0.01,8.56
77,0.01,8.56
78,0.01,8.56
79,0.01,8.56
80,0.01,8.56
81,0.01,8.56
82,0.01,8.56
83,0.01,8.56
84,-40.0,7.39
85,-40.0,6.23
86,-40.0,7.54
87,-40.0,8.02
88,-40.0,8.54
89,-40.0,9.2
90,-40.0,8.77
91,-40.0,14.87
92,-40.0,28.09
93,-34.55,47.27
94,-22.32,62.87
95,-11.71,99.42
96,3.18,110.85
97,0.35,114.3
98,0.01,121.34
99,1.26,124.17
100,-0.44,128.58
101,-2.7,131.15
102,-7.62,130.81
103,-8.82,128.58
104,-7.06,128.33
105,-11.07,129.24
106,-7.73,128.99
107,-11.91,128.23
108,-11.01,123.44
109,-19.31,116.94
110,-21.46,113.18
111,-21.46,113.18
112,-19.34,110.73
113,-14.55,103.48
114,-18.24,104.33
115,-36.05,100.88
116,-33.21,105.68
117,-39.9,118.57
118,-40.0,103.43
119,-36.17,89.3
120,-30.12,79.97
121,-33.94,74.07
122,-38.76,69.59
123,-39.82,64.43
124,-39.18,61.43
125,-39.06,54.34
126,-36.82,46.95
127,-37.57,40.39
128,-37.83,38.1
129,-39.96,34.83
130,-39.99,33.72
131,-40.0,32.25
132,-39.53,32.19
133,-33.73,28.69
134,-34.28,25.58
135,-34.35,22.3
136,-33.51,18.96
137,-34.23,14.23
138,-33.85,9.64
139,-38.16,6.23
140,-35.09,3.17
141,-35.09,3.17
142,-35.09,3.17
143,-35.09,3.17
144,-35.09,3.17
145,-35.09,3.17
146,-35.09,3.17
147,-35.59,29.74
148,-32.39,55.6
149,-29.0,66.64
150,-25.35,85.25
151,-17.88,129.31
152,-16.52,145.78
153,-20.38,137.41
154,-19.01,138.55
155,-20.2,138.44
156,-19.07,138.59
157,-19.48,138.58
158,-18.42,138.6
159,-17.62,138.6
160,-18.82,138.67
161,-16.93,138.69
162,-18.34,138.69
163,-17.98,138.69
164,-17.99,138.69
165,-18.43,138.77
166,-16.73,138.78
167,-18.25,138.78
168,-18.17,138.78
169,-18.68,138.78
170,-17.88,139.2
171,-20.24,138.59
172,-22.28,132.98
173,-28.87,118.82
174,-20.03,111.43
175,-28.91,111.21
176,-24.83,111.39
177,-20.0,108.22
178,-18.74,104.77
179,-15.82,111.06
180,-18.8,118.23
181,-8.93,123.05
182,-26.79,128.36
183,-7.94,133.29
184,-23.55,134.85
185,-29.07,135.29
186,-23.73,138.8
187,-29.7,140.2
188,-26.16,141.47
189,-34.64,143.31
190,-33.32,144.57
191,-33.81,149.27
192,-39.33,153.37
193,-36.52,155.94
194,-34.84,160.07
195,-29.23,158.71
196,-25.46,163.18
197,-27.58,164.49
198,-26.52,164.5
199,-37.28,173.83
200,-39.84,179.4
201,-38.88,184.04
202,-39.99,188.53
203,-40.0,190.09
204,-39.07,190.94
205,-39.99,193.69
206,-40.0,197.08
207,-39.96,202.42
208,-40.0,208.5
209,-39.07,213.1
210,-36.62,214.79
211,-35.66,215.26
212,-34.59,216.15
213,-32.77,219.88
214,-31.37,225.23
215,-32.85,230.83
216,-31.68,236.13
217,-30.21,241.61
218,-28.61,246.57
219,-28.49,248.62
220,-27.88,255.14
221,-26.14,260.91
222,-25.52,262.71
223,-26.0,265.41
224,-27.97,269.6
225,-28.5,271.57
226,-29.4,273.21
227,-28.36,277.07
228,-30.44,277.98
229,-30.44,277.98
230,-31.87,283.85
231,-34.63,285.32
232,-35.19,285.61
233,-37.42,286.65
234,-39.51,287.21
235,-40.0,287.66
236,-40.0,288.13
237,-40.0,289.08
238,-37.67,289.42
239,-39.98,289.42
240,-40.0,289.73
241,-40.0,289.95
242,-40.0,290.44
243,-39.96,290.4
244,-40.0,290.15
245,-40.0,290.04
246,-40.0,289.96
247,-39.82,289.78
248,-40.0,289.8
249,-34.36,289.63
250,-39.06,289.75
251,-39.29,289.68
252,-39.85,290.06
253,-40.0,290.45
254,-40.0,291.69
255,-40.0,292.48
256,-40.0,292.59
257,-40.0,293.75
258,-40.0,296.15
259,-40.0,297.99
260,-35.33,298.58
261,-39.96,298.63
262,-40.0,298.88
263,-40.0,299.41
264,-40.0,300.02
265,-39.95,300.77
266,-35.62,300.68
267,-39.96,300.67
268,-39.86,300.14
269,-38.6,297.35
270,-39.98,294.18
271,-37.97,293.52
272,-39.25,290.33
273,-39.99,303.02
274,-26.1,273.07
275,-36.4,271.5
276,-36.69,279.43
277,-39.97,292.37
278,-40.0,300.55
279,-39.58,303.0
280,-39.58,303.0
281,-40.0,303.21
282,-40.0,303.21
283,-40.0,303.2
284,-40.0,303.28
285,-39.53,302.21
286,-38.51,303.02
287,-38.45,292.38
288,-39.92,292.86
289,-39.99,296.22
290,-40.0,306.61
291,-40.0,311.61
292,-40.0,311.69
293,-40.0,311.41
294,-39.86,314.23
295,-40.0,317.83
296,-40.0,319.44
297,-38.44,321.61
298,-39.67,322.96
299,-39.44,322.73
300,-39.98,319.81
301,-37.2,323.39
302,-39.98,323.92
303,-28.33,322.14
304,-38.7,320.19
305,-39.78,320.54
306,-35.25,320.48
307,-35.25,320.48
308,-38.22,323.53
309,-39.23,324.34
310,-35.89,324.56
311,-39.81,323.41
312,-39.41,323.65
313,-36.92,323.44
314,-39.73,323.26
315,-38.74,324.81
316,-37.19,325.72
317,-39.73,326.0
318,-39.53,325.87
319,-38.6,326.62
320,-27.48,321.99
321,-27.09,313.83
322,-23.04,306.42
323,-22.09,301.11
324,-18.32,299.02
325,-24.26,299.43
326,-29.35,304.52
327,-38.06,307.79
328,-39.86,308.51
329,-38.56,309.25
330,-37.72,308.95
331,-37.89,308.81
332,-39.16,309.36
333,-38.1,309.15
334,-39.97,309.83
335,-40.0,311.48
336,-39.44,311.51
337,-37.26,311.46
338,-38.32,311.37
339,-36.51,311.42
340,-39.35,312.11
341,-39.06,313.36
342,-27.81,308.38
343,-14.59,272.12
344,-7.57,193.03
345,-1.4,150.84
346,-2.21,156.61
347,-2.68,63.0
348,-2.68,63.0
349,-2.68,63.0
350,-2.68,63.0
351,-2.68,63.0
352,-2.68,63.0
353,-2.68,63.0
354,-2.68,63.0
355,-2.68,63.0
356,-2.68,63.0
357,-2.68,63.0
358,-2.68,63.0
359,-2.68,63.0
360,-2.68,63.0
361,-2.68,63.0
362,-2.68,63.0
363,-2.68,63.0
364,-2.68,63.0
365,-2.68,63.0
366,-2.68,63.0
367,-2.68,63.0
368,-2.68,63.0
369,-2.68,63.0
370,-2.68,63.0
371,-2.68,63.0
372,-2.68,63.0
373,-2.68,63.0
374,-2.68,63.0
375,-2.68,63.0
376,-2.68,63.0
377,-2.68,63.0
378,-2.68,63.0
379,-2.68,63.0
380,-2.68,63.0
381,-2.68,63.0
382,-0.2,1.74
383,-0.2,1.74
384,-0.2,1.74
385,-0.2,1.74
386,-0.22,2.0
