i,theta,phi
319,24.49,103.0
320,22.75,102.0
321,19.87,101.0
322,14.94,99.0
323,10.47,97.0
324,11.23,96.0
325,13.62,93.0
326,19.31,89.0
327,19.15,85.0
328,19.58,80.0
329,22.29,76.0
330,24.64,71.0
331,12.32,64.0
332,15.16,66.0
333,15.58,63.0
334,14.79,61.0
335,14.9,58.0
336,16.45,53.0
337,12.72,50.0
338,17.86,45.0
339,28.93,44.0
340,24.97,46.0
341,20.98,43.0
342,20.99,39.0
343,21.5,37.0
344,30.75,37.0
345,15.37,37.0
346,19.69,36.0
347,18.84,32.0
348,21.42,28.0
349,22.71,22.0
350,23.36,17.0
351,23.18,14.0
352,25.09,12.0
353,32.54,9.0
354,36.27,5.0
355,28.64,355.0
356,26.32,354.0
357,25.66,351.0
358,25.83,349.0
359,22.41,346.0
360,23.21,344.0
361,22.6,340.0
362,23.8,338.0
363,20.9,336.0
364,21.45,330.0
365,22.23,324.0
366,23.11,317.0
367,20.06,312.0
368,20.53,307.0
369,18.26,302.0
370,15.63,298.0
371,13.32,294.0
372,10.16,290.0
373,13.58,287.0
374,17.29,287.0
375,19.64,287.0
376,20.32,286.0
377,30.16,285.0
378,26.58,283.0
379,24.79,281.0
380,21.4,278.0
381,24.2,274.0
382,25.1,270.0
383,21.05,264.0
384,16.02,257.0
385,15.51,250.0
386,14.76,243.0
387,8.88,238.0
388,4.44,232.0
389,2.22,227.0
390,1.61,224.0
391,1.3,222.0
392,3.65,220.0
393,6.33,219.0
394,3.16,219.0
395,4.08,219.0
396,2.04,219.0
397,6.02,220.0
398,10.51,221.0
399,9.76,222.0
400,9.88,223.0
401,9.94,223.0
402,13.97,223.0
403,13.48,223.0
404,15.24,223.0
405,17.62,224.0
406,18.81,225.0
407,18.41,227.0
408,16.7,228.0
409,16.35,229.0
410,16.68,231.0
411,17.84,232.0
412,17.92,233.0
413,8.96,232.0
414,24.48,231.0
415,25.24,231.0
416,23.62,231.0
417,24.31,231.0
418,24.65,230.0
419,24.33,228.0
420,20.16,224.0
421,16.58,218.0
422,14.29,214.0
423,13.15,210.0
424,14.07,207.0
425,15.04,204.0
426,17.52,202.0
427,19.26,200.0
428,20.13,198.0
429,20.56,195.0
430,19.28,193.0
431,19.64,191.0
432,18.82,188.0
433,18.91,186.0
434,16.96,184.0
435,28.48,182.0
436,34.24,181.0
437,37.12,178.0
438,31.56,171.0
439,25.28,164.0
440,15.14,156.0
441,13.57,151.0
442,14.28,149.0
443,13.64,147.0
444,18.82,144.0
445,17.91,142.0
446,18.96,140.0
447,18.98,139.0
448,19.99,138.0
449,20.99,138.0
450,22.0,137.0
451,21.0,135.0
452,21.5,133.0
453,20.75,130.0
454,19.37,126.0
455,18.19,124.0
